x,y,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
2500.573472,1007.646683,6.66057515,6.663132696,6.896694332,6.535241271,6.439350371,7.36707706,6.593044534,7.282073658,6.354370041,6.770789424,6.656726524,6.865891075,6.999422468,7.118826249,7.669495251,6.64118217,6.535241271,6.878326468,6.685860947,7.053585727,5.690359454,6.498282149,6.865891075,6.838405201,6.192362489,6.675823222,5.765191103,6.525029658,6.385194399,6.182084907,6.794586581,6.535241271,6.965080346,7.109062136,7.012115294,6.380122537,7.003974137,7.301822342,5.733341277,6.484635236,6.821107472,7.020190708,7.114769448,6.988413182,295.5499923
2614.935375,1361.365765,7.192182059,6.586171655,6.782192056,6.159095388,6.71417053,6.836259277,5.932245187,6.800170068,6.689599269,6.226536669,6.11146734,6.66949809,6.64118217,7.53689713,7.545918151,6.90475077,7.017506143,6.052089169,6.226536669,7.01301579,6.656726524,5.780743516,6.280395839,6.91671502,6.896694332,6.901737207,6.17586727,7.560601163,5.713732806,6.84694314,7.45760929,6.359573869,6.906754779,6.749931194,7.160845907,6.746412129,7.094234846,7.313220387,5.860786223,6.807934944,6.855408799,6.690842277,7.308542798,6.864847778,295.5445856
1766.089131,712.5363782,6.946975992,5.81711116,6.91671502,6.708084084,7.507690078,6.768493212,6.66057515,6.148468296,5.521460918,7.248504072,6.171700597,6.222576268,7.602401336,6.88857246,6.289715571,7.229838778,6.459904454,6.206575927,5.97126184,6.182084907,5.953243334,6.047372179,6.982862751,6.951772164,7.155396302,7.137278437,5.905361848,6.956545443,7.090076836,6.929516771,6.620073207,6.816735881,6.964135612,6.837332815,6.665683718,7.089243155,7.01301579,6.875232087,6.450470422,7.153833802,6.652863029,7.067319849,7.070724107,6.456769656,294.3115693
1493.270759,1043.693196,6.327936784,6.738152495,6.744059186,6.059123196,6.800170068,7.31986493,7.194436851,6.886531643,6.633318433,7.046647278,6.242223265,6.673297968,7.139660336,6.9902565,5.579729826,6.226536669,6.66949809,6.242223265,6.475432717,7.288927695,6.345636361,6.643789733,6.418364936,7.033506484,6.901737207,6.666956792,6.510258341,6.423246964,7.139660336,6.32256524,6.617402978,6.498282149,7.065613364,7.110696123,7.026426809,6.180016654,7.128495946,6.285998095,6.439350371,7.494430215,6.280395839,6.84694314,6.64509097,6.715383386,294.0182756
2319.500953,1067.602841,7.037905963,NA,6.946975992,7.357556201,7.542213463,7.509335266,6.232448017,7.125283092,6.345636361,6.759255271,6.32256524,6.768493212,7.070724107,7.510430556,7.192182059,6.695798917,7.035268599,6.679599186,6.689599269,7.224753406,6.470799504,6.732210706,6.64118217,6.182084907,6.021023349,6.791221463,6.517671273,7.282073658,6.455198563,6.289715571,6.626717749,6.626717749,7.17395832,7.137278437,6.927557906,6.81014245,7.224753406,6.97634807,6.459904454,6.877296071,6.326149473,6.899723107,6.850126166,6.840546529,293.1864252
2751.965997,588.5116232,7.453561872,6.647688374,7.278628942,7.221105098,6.216606101,6.785587645,5.579729826,7.079184395,5.438079309,7.159291905,6.192362489,5.855071922,5.459585514,6.774223886,7.691656823,6.692083743,6.300785795,6.66057515,6.165417854,6.582025139,6.579251212,6.470799504,6.486160789,7.519149958,5.241747015,6.818924065,5.416100402,6.759255271,7.618742378,6.617402978,6.222576268,6.535241271,7.027314514,6.638567789,6.853299093,7.027314514,7.027314514,7.217443432,5.902633333,7.317876199,7.399398083,7.252053952,6.765038977,7.03966035,292.9865176
3129.942417,954.5848146,7.36707706,5.991464547,6.956545443,6.683360946,6.65415252,6.242223265,6.561030666,6.630683386,6.267200549,5.645446898,6.9902565,6.951772164,5.65248918,6.630683386,7.005789019,7.357556201,6.606650186,6.431331082,6.610696045,6.873163834,6.304448802,6.953684211,5.468060141,6.501289671,6.56526497,6.896694332,6.070737728,7.135687347,7.492203043,5.697093487,6.620073207,6.165417854,7.451822237,7.194436851,6.042632834,6.65544035,6.613384218,7.33628566,6.37502482,6.602587892,7.511524648,6.923628628,7.295056416,6.909753282,292.8918055
650.9878297,925.3411732,6.50578406,6.501289671,7.407924323,6.610696045,6.251903883,6.216606101,6.12249281,6.148468296,6.510258341,6.186208624,6.865891075,6.695798917,6.599870499,6.368187186,6.426488457,6.599870499,5.356586275,6.327936784,6.666956792,7.183111702,7.387709239,6.735780014,6.762729507,7.184629153,7.046647278,7.129297549,7.037905963,6.483107351,6.787844982,6.171700597,7.161622003,7.046647278,7.226936018,6.025865974,6.470799504,6.342121419,7.449498005,6.342121419,6.677083461,7.36707706,6.722629795,6.685860947,6.410174882,6.536691598,292.7448113
2911.614117,925.9941006,6.796823718,5.730099783,7.141245122,6.708084084,6.222576268,6.363028104,6.883462586,7.121252453,5.97126184,6.222576268,6.393590754,6.774223886,5.877735782,6.525029658,6.975413927,6.978213743,7.020190708,6.774223886,6.318968114,6.33150185,5.609471795,6.8134446,7.077498054,7.260522598,6.762729507,6.779921907,6.238324625,6.762729507,7.01571242,6.238324625,6.035481433,6.66949809,7.044032897,7.003974137,5.267858159,6.84694314,7.589841512,7.057897937,5.942799375,7.13009851,7.425953657,6.605297921,7.252762418,6.86171134,292.4223327
793.3791197,826.6045751,6.617402978,6.992096427,6.854354502,6.455198563,6.753437919,7.497761701,6.393590754,7.574045005,6.785587645,6.075346031,7.718240952,6.447305863,7.446001498,6.396929655,6.192362489,6.630683386,6.238324625,6.393590754,7.135687347,7.384610383,6.535241271,5.438079309,7.02464903,7.579167967,7.077498054,6.09356977,6.606650186,6.966024187,6.873163834,6.948897222,6.9902565,7.465082736,6.820016365,6.650279049,6.586171655,6.520621128,6.957497371,6.381816017,6.908754779,NA,7.523481313,6.701960366,6.434546519,7.24636808,292.3123512
